country,participant_count
Afghanistan,2
Algeria,15
Argentina,220
Armenia,15
Australia,1206
Australia/New Zealand Combined,4
Austria,273
Azerbaijan,44
Bahamas,40
Bahrain,3
Barbados,1
Belarus,131
Belgium,89
Bermuda,1
Botswana,1
Brazil,447
Bulgaria,328
Burundi,2
Cameroon,18
Canada,1060
Chile,25
China,985
Colombia,27
Costa Rica,4
Croatia,139
Cuba,394
Cyprus,1
Czech Republic,144
Czechoslovakia,375
Denmark,255
Djibouti,1
Dominican Republic,6
East Germany,995
Ecuador,2
Egypt,12
Eritrea,1
Estonia,34
Ethiopia,53
Fiji,13
Finland,724
France,987
Gabon,1
Georgia,32
Germany,1612
Ghana,6
Great Britain,1031
Greece,101
Grenada,2
Guatemala,1
Guyana,1
Haiti,1
Hong Kong,4
Hungary,791
Iceland,17
India,96
Indian Ocean Island Association,5
Indonesia,38
Iran,59
Ireland,27
Israel,7
Italy,1060
Ivory Coast,3
Jamaica,154
Japan,843
Jordan,1
Kazakhstan,74
Kenya,100
Kosovo,1
Kuwait,2
Kyrgyzstan,3
Latvia,32
Lebanon,2
Liechtenstein,8
Lithuania,61
Luxembourg,3
Malaysia,16
Mauritius,1
Mexico,76
Moldova,8
Mongolia,25
Montenegro,14
Morocco,23
Mozambique,2
Namibia,4
Netherlands,708
New Zealand,211
Niger,1
Nigeria,96
North Korea,58
North Macedonia,1
Norway,514
Pakistan,107
Panama,3
Paraguay,17
Peru,14
Philippines,8
Poland,548
Portugal,25
Puerto Rico,8
Qatar,5
Romania,597
Russia,1134
Saudi Arabia,5
Senegal,1
Serbia,85
Serbia and Montenegro,61
Singapore,9
Slovakia,47
Slovenia,47
South Africa,69
South Korea,561
Soviet Union,2246
Spain,431
Sri Lanka,1
Sudan,1
Suriname,2
Sweden,765
Switzerland,345
Syria,2
Taiwan,49
Tajikistan,4
Tanzania,2
Thailand,30
Togo,1
Tonga,1
Trinidad & Tobago,29
Tunisia,12
Turkey,70
Uganda,7
Ukraine,194
Unified Team (1992 Olympics),230
United Arab Emirates,2
United States,4383
Uruguay,24
Uzbekistan,34
Venezuela,15
Vietnam,4
Virgin Islands,1
West Germany,582
Western Samoa,5
Yugoslavia,321
Zambia,1
Zimbabwe,22
